UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47,Mineralogy,Transducer_Pressure,Sample_Weight,NuCarb_temp,Pumpover_Pressure,Init_Sam_beam,Balance,Vial_Location,pct_evolved_carbonate
13648,20210517,ETH-1,-2.7289999999999996,25.730999999999998,4.843412,11.467506,15.681486999999999,22.556024,5.0891150000000005,2.018223,37.495159,-0.6350939999999999,-0.498954,-22.22863,0.275002,,25.635,485.0,72.32,0.035546,1.7655e-07,0.38,1.0,92.0
13649,20210517,ETH-3,-2.7289999999999996,25.730999999999998,4.578544,12.026767999999999,16.300819,23.759358,-1.082483,1.715071,38.070045,-0.297177,-0.428429,-29.014762,0.628722,,29.326999999999998,544.0,72.39,0.029693999999999998,2.0211999999999999e-07,0.3,2.0,93.9
13650,20210517,ETH-2,-2.7289999999999996,25.730999999999998,-7.035157000000001,-5.105786,-12.850638,-10.278212,-28.966742,-10.047372,20.504697,-0.617505,-0.09372899999999999,-11.742314,0.268768,,19.531,391.0,72.39,0.03106,1.2999000000000001e-07,0.24,3.0,87.0
13652,20210517,MERCK,-2.7289999999999996,25.730999999999998,-36.868368,-2.1605090000000002,-40.409279999999995,-4.360752,-45.095616,-41.991546,23.598079000000002,-0.345527,-0.044935,-1.812457,0.529259,,21.605999999999998,408.0,72.39,0.031766,1.4528e-07,0.22,5.0,92.2
13653,20210517,30-RJS-5159.1A,-2.7289999999999996,25.730999999999998,6.130267,13.56836,19.316001,26.840514000000002,0.532741,3.314433,39.649382,-0.42349499999999995,-0.46749700000000005,-31.942911,0.49929799999999996,,25.268,514.0,72.39,0.031766,1.7109e-07,0.34,6.0,85.6
13654,20210517,30-RJS-5159.1B,-2.7289999999999996,25.730999999999998,6.5749960000000005,15.315252,21.499973999999998,30.336359,2.71532,3.7250330000000003,41.442109,-0.432166,-0.512834,-33.563884,0.492119,,27.923000000000002,530.0,72.39,0.031766,1.9038000000000001e-07,0.24,7.0,91.7
13657,20210517,ETH-2,-2.7289999999999996,25.730999999999998,-7.017034,-5.0618620000000005,-12.911629,-10.448881,62.463947999999995,-10.029656,20.549757999999997,-0.741441,-0.35442399999999996,81.195362,0.139178,,21.057,413.0,72.39,0.031766,1.4062999999999998e-07,0.24,10.0,88.8
13659,20210517,30-RJS-5159.1E,-2.7289999999999996,25.730999999999998,6.643163,16.084533,22.278613,32.017790000000005,-35.048299,3.769618,42.231873,-0.484696,-0.397074,-71.41139,0.43788699999999997,,22.4,450.0,72.39,0.032488,1.4860999999999998e-07,0.25,12.0,86.7
13660,20210517,30-RJS-5159.1F,-2.7289999999999996,25.730999999999998,6.590203999999999,16.0345,22.174992,31.780448,-5.764405,3.7149360000000002,42.180622,-0.483375,-0.5285340000000001,-43.084790000000005,0.43917799999999996,,22.522,454.0,72.39,0.032488,1.5226e-07,0.2,13.0,86.4
13661,20210517,ETH-1,-2.7289999999999996,25.730999999999998,4.876034,11.604257,15.777491,22.887259,-18.691836,2.048019,37.635503,-0.7069380000000001,-0.445486,-45.649827,0.199994,,28.87,530.0,72.39,0.032488,1.9772000000000003e-07,0.27,14.0,94.9
13664,20210517,30-RJS-5166.25B,-2.7289999999999996,25.730999999999998,5.487146,15.95684,21.088017,31.555577000000003,-5.4520669999999996,2.540691,42.103455,-0.341092,-0.593601,-41.521087,0.586953,,28.107,544.0,72.39,0.031766,1.9329e-07,0.31,17.0,90.0
13667,20210517,ETH-4,-2.7289999999999996,25.730999999999998,-7.162868,-5.218914,-12.892388,-10.288419000000001,-11.866196,-10.179473,20.388828,-0.415401,0.12339000000000001,6.024216,0.479969,,32.196,554.0,72.44,0.03106,2.2788e-07,0.29,20.0,101.2
13668,20210517,30-RJS-5166.25D,-2.7289999999999996,25.730999999999998,6.007162,16.756262,22.306344,33.224022999999995,1.207811,3.0663549999999997,42.923114,-0.455326,-0.550635,-37.123684999999995,0.46860799999999997,,19.531,452.0,72.44,0.03106,1.2685e-07,0.27,21.0,75.2
13671,20210517,ETH-2,-2.7289999999999996,25.730999999999998,-7.020442999999999,-5.081662000000001,-12.831789,-10.124786,-15.758566,-10.032561999999999,20.529434,-0.637525,0.012779,1.6366049999999999,0.24786,,20.08,390.0,71.91,0.03106,1.3265e-07,0.32,24.0,89.7
13672,20210517,ETH-1,-2.7289999999999996,25.730999999999998,4.8457099999999995,11.497993,15.630761999999999,22.613605,-11.782939,2.019557,37.526458,-0.716975,-0.502925,-38.701394,0.189377,,21.179000000000002,412.0,71.91,0.030369,1.3909e-07,0.33,25.0,89.5
13673,20210517,23-RJS-5281.9,-2.7289999999999996,25.730999999999998,4.8553690000000005,15.168625,19.533228,30.229306,0.992654,1.8953650000000002,41.295565,-0.453383,-0.32798299999999997,-33.190277,0.468247,,16.570999999999998,431.0,71.91,0.029033999999999997,1.0672e-07,0.33,26.0,67.0
13675,20210517,IAEA-C2,-2.7289999999999996,25.730999999999998,-4.760992,4.631374,-0.665151,9.014875,5.032463,-7.979649,30.49792,-0.284433,-0.266898,1.027003,0.627404,,23.224,441.0,71.91,0.032488,1.5554999999999999e-07,0.33,28.0,91.7
13678,20210517,23-RJS-5607,-2.7289999999999996,25.730999999999998,3.908011,13.661539000000001,17.076263,27.097054999999997,-78.675104,0.939623,39.750248,-0.432436,-0.401597,-106.63818799999999,0.48802,,25.787,480.0,71.91,0.032488,1.7206e-07,0.28,31.0,93.6
13685,20210517,ETH-2,-2.7289999999999996,25.730999999999998,-7.01923,-5.0610599999999994,-12.884758999999999,-10.164741000000001,-137.21223600000002,-10.032029,20.550586,-0.712752,-0.068998,-122.00046699999999,0.16918699999999998,,20.142,407.0,71.93,0.030369,1.29e-07,0.29,39.0,86.2
13686,20210517,ETH-1,-2.7289999999999996,25.730999999999998,4.845987999999999,11.484345,15.627529999999998,19.888345,-58.687484999999995,2.020354,37.512443,-0.707183,-3.139679,-84.304278,0.19960799999999998,,22.186,422.0,71.93,0.030369,1.4377e-07,0.33,40.0,91.6
13687,20210517,NO-43,-2.7289999999999996,25.730999999999998,3.918394,6.740245,10.286265,13.202395999999998,-27.827578000000003,1.204682,32.643209999999996,-0.40527399999999997,-0.319182,-44.566727,0.510552,,20.843000000000004,427.0,71.93,0.030369,1.3700999999999998e-07,0.32,41.0,85.0
13688,20210517,26-RJS-5497,-2.7289999999999996,25.730999999999998,5.271061,16.017485,20.889864000000003,32.11424,-70.913825,2.307884,42.166233,-0.372107,-0.17172,-104.50868100000001,0.554366,,16.022000000000002,462.0,71.93,0.031766,1.0062000000000001e-07,-0.11,42.0,60.4
13689,20210517,FRAC_1-29RA,-2.7289999999999996,25.730999999999998,4.941452,15.375176000000002,19.845422,30.48635,4.367152,1.9796639999999999,41.507458,-0.43562,-0.485336,-30.407272999999996,0.48708199999999996,,21.331999999999997,435.0,71.93,0.03106,1.4235999999999999e-07,0.31,43.0,85.4
13690,20210517,ETH-4,-2.7289999999999996,25.730999999999998,-7.1611020000000005,-5.226603,-12.966605,-10.387651,-26.433740000000004,-10.177304,20.380928,-0.484795,0.038573,-8.793901,0.407375,,25.36,447.0,71.93,0.03106,1.6774999999999998e-07,0.33,44.0,98.8
13691,20210517,ETH-3,-2.7289999999999996,25.730999999999998,4.574425,12.029941,16.284089,23.61235,-39.397940999999996,1.7105599999999999,38.073313,-0.312487,-0.578231,-66.26049599999999,0.6127060000000001,,20.781999999999996,400.0,71.93,0.029693999999999998,1.3633e-07,0.22,45.0,90.5
13692,20210517,FRAC_1-29RB,-2.7289999999999996,25.730999999999998,5.697711,14.226187,19.485295,28.229242,0.927952,2.82875,40.32587,-0.4517,-0.41363199999999994,-32.351186,0.46996400000000005,,19.165,423.0,71.93,0.031766,1.2382e-07,0.27,46.0,78.9
13694,20210517,FRAC_1-29RC,-2.7289999999999996,25.730999999999998,5.158165,13.428041,18.179426,26.55047,-7.961321000000001,2.282232,39.507567,-0.40581999999999996,-0.473105,-38.910599,0.51679,,23.01,453.0,71.93,0.03106,1.5335e-07,0.35,48.0,88.5
13695,20210517,ETH-3,-2.7289999999999996,25.730999999999998,4.566221,11.960035000000001,16.202931,23.792226,-8.422692999999999,1.704368,38.00155,-0.316006,-0.264497,-36.012213,0.608958,,22.278000000000002,428.0,71.93,0.03106,1.4712e-07,0.34,49.0,90.6
13696,20210517,ETH-1,-2.7289999999999996,25.730999999999998,4.865354,11.579094,15.713984,22.790267,-6.658225,2.037545,37.60969,-0.73402,-0.49054200000000003,-33.888632,0.17163299999999998,,21.698,415.0,71.93,0.029033999999999997,1.4285e-07,0.27,50.0,91.0
