UID,Session,Sample,d45,d46,d47,d48,d49
13648,20210517,ETH-1,4.843412,11.467506,15.681487,22.556024,5.089115
13649,20210517,ETH-3,4.578544,12.026768,16.300819,23.759358,-1.082483
13650,20210517,ETH-2,-7.035157,-5.105786,-12.850638,-10.278212,-28.966742
13652,20210517,MERCK,-36.868368,-2.160509,-40.409280,-4.360752,-45.095616
13653,20210517,30-RJS-5159.1A,6.130267,13.568360,19.316001,26.840514,0.532741
13654,20210517,30-RJS-5159.1B,6.574996,15.315252,21.499974,30.336359,2.715320
13657,20210517,ETH-2,-7.017034,-5.061862,-12.911629,-10.448881,62.463948
13659,20210517,30-RJS-5159.1E,6.643163,16.084533,22.278613,32.017790,-35.048299
13660,20210517,30-RJS-5159.1F,6.590204,16.034500,22.174992,31.780448,-5.764405
13661,20210517,ETH-1,4.876034,11.604257,15.777491,22.887259,-18.691836
13664,20210517,30-RJS-5166.25B,5.487146,15.956840,21.088017,31.555577,-5.452067
13667,20210517,ETH-4,-7.162868,-5.218914,-12.892388,-10.288419,-11.866196
13668,20210517,30-RJS-5166.25D,6.007162,16.756262,22.306344,33.224023,1.207811
13671,20210517,ETH-2,-7.020443,-5.081662,-12.831789,-10.124786,-15.758566
13672,20210517,ETH-1,4.845710,11.497993,15.630762,22.613605,-11.782939
13673,20210517,23-RJS-5281.9,4.855369,15.168625,19.533228,30.229306,0.992654
13675,20210517,IAEA-C2,-4.760992,4.631374,-0.665151,9.014875,5.032463
13678,20210517,23-RJS-5607,3.908011,13.661539,17.076263,27.097055,-78.675104
13685,20210517,ETH-2,-7.019230,-5.061060,-12.884759,-10.164741,-137.212236
13686,20210517,ETH-1,4.845988,11.484345,15.627530,19.888345,-58.687485
13687,20210517,NO-43,3.918394,6.740245,10.286265,13.202396,-27.827578
13688,20210517,26-RJS-5497,5.271061,16.017485,20.889864,32.114240,-70.913825
13689,20210517,FRAC_1-29RA,4.941452,15.375176,19.845422,30.486350,4.367152
13690,20210517,ETH-4,-7.161102,-5.226603,-12.966605,-10.387651,-26.433740
13691,20210517,ETH-3,4.574425,12.029941,16.284089,23.612350,-39.397941
13692,20210517,FRAC_1-29RB,5.697711,14.226187,19.485295,28.229242,0.927952
13694,20210517,FRAC_1-29RC,5.158165,13.428041,18.179426,26.550470,-7.961321
13695,20210517,ETH-3,4.566221,11.960035,16.202931,23.792226,-8.422693
13696,20210517,ETH-1,4.865354,11.579094,15.713984,22.790267,-6.658225
