UID,Transducer_Pressure,Sample_Weight,NuCarb_temp,Pumpover_Pressure,Initial_Sam,Balance,Vial_Location,Bad_count
13651,0.45799999999999996,529.0,72.39,0.031766,2.0383e-08,-47.77,4.0,7
13655,0.305,461.0,72.39,0.03106,1.0831999999999999e-08,-70.09,8.0,32
13656,0.5489999999999999,470.0,72.39,0.03106,1.9898e-08,-45.05,9.0,29
13658,5.249,635.0,72.39,0.032488,4.1430999999999996e-08,-7.8,11.0,8
13662,0.336,498.0,72.39,0.031766,9.2615e-09,-77.59,15.0,41
13663,11.719000000000001,536.0,72.39,0.031766,7.5602e-08,-0.09,16.0,0
13665,9.003,448.0,72.39,0.031766,6.1708e-08,-0.3,18.0,0
13666,0.336,479.0,72.39,0.031766,4.56e-09,-88.22,19.0,58
13669,14.16,483.0,72.44,0.03106,9.2606e-08,-0.1,22.0,0
13670,3.326,419.0,72.44,0.030369,3.0416e-08,-29.12,23.0,0
13674,5.768,407.0,71.91,0.03106,4.2392e-08,-0.54,27.0,11
13676,4.547,412.0,71.91,0.031766,3.5415e-08,-11.48,29.0,13
13677,10.985999999999999,509.0,71.91,0.031766,6.9315e-08,-0.23,30.0,0
13679,14.587,418.0,71.91,0.031766,9.4192e-08,0.19,32.0,3
13680,7.202000000000001,449.0,71.91,0.031766,5.0008e-08,-0.55,33.0,2
13681,3.418,457.0,71.91,0.031766,3.1362e-08,-27.35,34.0,3
13693,30.609,528.0,71.93,0.029033999999999997,2.1014e-07,1.06,47.0,0
